"Substance / Classe","Substance / Classe associée","Risque / Effet","Niveau de contrainte","Conduite à tenir"
"ANTIAGRÉGANTS PLAQUETTAIRES","COBIMÉTINIB","Augmentation du risque hémorragique.","Précaution d'emploi","Surveillance clinique."
"ANTIAGRÉGANTS PLAQUETTAIRES","DÉFIBROTIDE","Risque hémorragique accru.","Association DECONSEILLEE",""
"ANTIAGRÉGANTS PLAQUETTAIRES","HÉPARINES","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTIAGRÉGANTS PLAQUETTAIRES","IBRUTINIB","Augmentation du risque hémorragique.","Précaution d'emploi","Surveillance clinique."
"ANTIAGRÉGANTS PLAQUETTAIRES","INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTIAGRÉGANTS PLAQUETTAIRES","MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTIAGRÉGANTS PLAQUETTAIRES","THROMBOLYTIQUES","Augmentation du risque hémorragique.","A prendre en compte",""
"ANTIARYTHMIQUES","AUTRES ANTIARYTHMIQUES","L'association de deux antiarythmiques est très délicate. Majorité des cas contre-indiquée ou déconseillée.","Contre-indication / Association déconseillée",""
"ANTIARYTHMIQUES CLASSE IA","ESMOLOL","Troubles de la contractilité, de l'automatisme et de la conduction (suppression des mécanismes sympathiques compensateurs).","Précaution d'emploi","Surveillance clinique et ECG."
"ANTIARYTHMIQUES CLASSE IA","INDUCTEURS ENZYMATIQUES PUISSANTS","Diminution des concentrations plasmatiques et de l'efficacité de l'antiarythmique par augmentation de son métabolisme.","Précaution d'emploi","Surveillance clinique, ECG et contrôle plasmatique; adaptation posologique pendant et après l'arrêt."
"ANTIARYTHMIQUES CLASSE IA","RIFAMPICINE","Diminution des concentrations plasmatiques et de l'efficacité de l'antiarythmique (augmentation du métabolisme hépatique).","Précaution d'emploi","Surveillance clinique, ECG et concentration plasmatique; adaptation posologique (risque de surdosage à l'arrêt)."
